UrzadzenieID,Szerokosc,Dlugosc
105,49.47,15.58
106,54.05,20.37
107,54.24,15.27
108,50.07,15.43
109,52.54,17.13
110,50.42,18.34
111,51.32,16.13
112,49.35,23.38
113,49.39,19.48
114,53.00,15.17
115,49.11,20.57
116,52.14,23.34
117,52.55,16.27
118,52.53,23.43
119,54.41,14.26
120,51.21,19.24
121,53.55,21.53
122,50.39,15.08
123,53.21,23.46
124,53.22,19.14
125,49.26,14.52
126,53.27,14.53
127,53.07,22.47
128,51.17,15.13
129,52.42,21.48
130,53.51,14.09
131,49.40,16.28
132,51.08,18.44
133,51.43,23.10
134,50.58,19.40
135,52.16,21.56
136,52.20,16.24
137,49.32,17.20
138,52.38,14.53
139,52.12,19.44
140,50.00,21.54
141,51.21,21.43
142,52.29,19.19
143,52.31,20.10
144,50.13,23.52
145,49.49,19.41
146,53.07,17.21
147,52.31,23.12
148,53.22,18.56
149,50.42,18.43
150,51.42,22.43
151,49.26,19.23
152,49.03,18.28
153,52.09,16.30
154,53.40,15.24
155,51.22,21.18
156,52.50,23.21
157,51.19,17.09
158,52.48,22.15
159,51.47,21.54
160,50.04,16.19
161,50.08,22.44
162,50.14,22.54
163,53.08,14.42
164,50.41,23.29
165,51.53,19.47
166,49.07,14.58
167,53.39,18.50
168,50.33,22.57
169,54.37,19.17
170,49.00,22.26
171,52.12,22.43
172,54.39,14.16
173,54.37,15.29
174,51.55,17.46
175,54.49,16.14
176,54.41,20.20
177,51.03,17.10
178,53.32,17.49
179,52.04,18.51
180,51.40,15.21
181,50.55,21.11
182,52.06,19.43
183,49.34,14.07
184,51.29,21.58
185,49.15,14.36
186,54.42,15.51
187,50.53,17.13
188,50.57,17.08
189,54.08,23.30
190,49.02,19.39
191,53.07,23.31
192,52.29,17.56
193,49.05,21.27
194,49.05,21.46
195,53.10,16.53
196,52.48,15.24
197,50.36,14.08
198,53.23,16.40
199,51.05,18.10
200,51.05,20.47
201,51.51,23.38
202,54.47,21.10
203,51.27,21.42
204,51.29,21.48
205,50.06,16.57
206,52.25,16.10
207,51.45,15.46
208,50.58,16.12
209,54.28,21.57
210,49.40,20.55
211,51.10,23.39
212,51.04,14.16
213,51.15,19.58
214,52.32,19.48
215,52.54,17.22
216,49.11,17.48
217,52.09,22.36
218,54.01,15.57
219,54.12,15.44
220,50.38,23.15
221,54.13,17.53
222,54.49,16.24
223,54.01,14.31
224,49.43,14.23
225,51.25,23.10
226,53.06,19.53
227,51.04,22.30
228,53.53,14.54
229,50.37,21.29
230,54.24,19.16
231,50.48,20.16
232,54.34,14.10
233,49.57,16.13
234,53.47,18.50
235,49.42,15.56
236,52.31,23.07
237,53.45,22.30
238,52.10,19.51
239,52.10,15.24
240,52.45,14.21
241,53.01,23.16
242,54.20,21.16
243,49.41,17.35
244,51.09,14.07
245,52.10,20.55
246,53.24,16.07
247,52.33,14.21
248,52.00,21.36
249,52.32,14.27
250,52.22,21.30
251,51.11,22.40
252,50.24,23.25
253,49.18,21.26
254,51.04,18.21
255,54.37,17.45
256,49.37,14.55
257,50.54,17.20
258,50.35,15.07
259,51.18,21.10
260,50.32,23.34
261,50.08,22.19
262,49.44,19.43
263,51.12,20.45
264,53.27,23.25
265,50.45,19.40
266,50.20,20.47
267,49.45,18.07
268,52.22,15.27
269,49.19,17.36
270,49.11,15.29
271,54.41,21.51
272,54.17,14.40
273,49.25,15.18
274,50.02,22.52
275,49.37,18.48
276,49.01,23.14
277,52.47,14.38
278,53.18,22.23
279,54.05,14.35
280,51.07,20.22
281,53.40,22.19
282,52.06,22.47
283,52.49,18.37
284,53.15,18.46
285,49.18,15.42
286,50.33,15.47
287,49.15,18.22
288,49.06,14.36
289,50.53,16.37
290,50.57,19.47
291,53.01,22.11
292,52.03,23.15
293,50.53,14.19
294,53.36,21.18
295,52.28,20.48
296,53.47,15.27
297,51.00,15.55
298,51.51,20.58
299,53.23,23.52
300,52.04,19.29
301,50.06,18.16
302,51.00,22.17
303,54.30,20.48
304,52.05,19.28
305,52.40,14.39
306,54.40,23.11
307,54.14,18.07
308,52.52,16.52
309,52.43,19.32
310,50.23,19.29
311,49.52,21.44
312,54.13,17.51
313,50.35,20.18
314,50.08,20.17
315,51.18,20.32
316,49.27,14.11
317,49.40,21.41
318,52.36,15.46
319,50.10,15.58
320,50.54,16.32
321,49.16,23.38
322,53.50,19.36
323,52.06,21.25
324,53.13,18.56
325,54.05,20.26
326,50.36,16.51
327,51.22,23.50
328,51.48,14.53
329,51.45,15.12
330,53.24,18.19
331,52.34,22.40
332,50.31,22.47
333,49.30,15.26
334,50.09,22.21
335,53.24,15.12
336,54.22,18.31
337,53.10,20.39
338,49.19,19.14
339,51.48,15.12
340,49.08,15.09
341,51.39,19.40
342,49.26,20.35
343,54.13,16.39
344,49.10,14.08
345,54.47,22.19
346,50.54,18.36
347,49.04,22.45
348,50.47,15.12
349,49.06,14.57
350,54.09,20.12
351,52.22,21.20
352,51.57,23.51
353,54.49,18.35
354,50.28,15.20
355,52.47,20.56
356,52.13,20.42
357,51.07,20.07
358,52.51,19.53
359,51.24,18.12
360,49.50,18.24
361,52.38,16.38
362,53.55,14.45
363,50.31,17.15
364,51.52,21.49
365,53.37,17.09
366,51.09,16.46
367,50.02,21.41
368,50.23,14.29
369,49.36,23.21
370,49.08,17.39
371,52.17,18.13
372,52.47,15.28
373,54.04,17.42
374,52.32,14.13
375,50.13,23.56
376,53.43,22.50
377,53.57,14.30
378,49.30,18.12
379,49.46,23.39
380,54.08,20.15
381,52.57,17.56
382,54.47,15.38
383,49.55,15.15
384,51.56,15.29
385,52.50,20.23
386,51.46,20.12
387,53.26,23.31
388,51.24,20.33
389,54.24,18.54
390,51.50,17.53
391,51.21,14.37
392,54.32,19.14
393,50.49,21.33
394,49.13,19.33
395,51.04,18.29
396,49.02,19.08
397,54.12,20.57
398,53.45,23.16
399,53.16,15.33
400,49.47,22.40
401,51.31,21.51
402,52.11,15.51
403,52.28,23.07
404,50.10,20.53
405,54.05,14.12
406,54.18,19.08
407,53.07,22.43
408,50.03,16.48
409,53.10,22.20
410,50.56,15.41
411,54.25,17.09
412,49.03,16.42
413,54.45,23.55
414,54.25,21.14
415,51.07,19.57
416,51.27,22.41
417,49.04,20.43
418,51.25,20.50
419,51.11,14.45
420,50.58,19.52
421,51.21,16.39
422,49.40,19.29
423,53.01,22.35
424,50.09,18.42
425,54.15,14.27
426,53.12,22.54
427,49.05,17.42
428,51.54,16.41
429,49.40,23.52
430,49.14,18.10
431,54.26,15.10
432,53.27,23.47
433,54.47,23.21
434,49.11,15.21
435,52.14,20.55
436,52.43,18.12
437,49.40,16.25
438,52.16,19.40
439,51.53,22.27
440,52.58,23.18
441,50.51,15.54
442,50.47,22.49
443,51.18,23.26
444,52.42,17.20
445,51.45,19.18
446,53.55,14.26
447,51.19,15.48
448,52.02,19.49
449,54.40,22.34
450,49.16,14.56
451,52.50,23.39
452,53.06,19.45
453,54.35,21.21
454,52.09,14.54
455,51.20,21.41
456,49.00,17.29
457,53.33,21.48
458,52.42,20.55
459,52.48,22.18
460,54.25,17.17
461,52.13,19.25
462,51.56,17.37
463,54.10,17.18
464,49.05,19.54
465,49.43,14.36
466,49.35,22.58
467,49.23,16.40
468,50.31,21.28
469,53.07,17.41
470,52.45,17.24
471,51.16,20.20
472,49.12,17.17
473,50.31,14.52
474,54.24,20.49
475,50.37,16.57
476,53.53,18.11
477,54.26,20.23
478,54.09,23.17
479,52.01,16.18
480,52.09,19.53
481,51.48,16.51
482,50.19,17.22
483,52.37,23.58
484,54.32,19.25
485,53.25,22.33
486,50.16,16.28
487,50.20,15.21
488,49.58,21.29
489,51.45,15.11
490,52.34,21.17
491,54.35,22.39
492,51.28,14.47
493,51.35,16.27
494,50.56,20.09
495,53.05,23.45
496,49.33,19.38
497,53.30,18.39
498,51.35,22.30
499,53.46,23.14
500,51.13,20.21
501,52.17,22.30
502,53.22,20.15
503,52.23,20.35
504,50.05,16.35
505,52.36,16.41
506,50.49,20.26
507,51.16,19.34
508,54.36,18.12
509,52.09,15.14
510,53.10,17.57
511,50.48,21.23
512,50.45,16.50
513,53.26,14.55
514,54.38,22.46
515,54.49,23.54
516,50.49,14.20
517,52.20,21.26
518,50.56,23.17
519,52.07,18.58
520,54.31,15.41
521,54.35,18.28
522,51.04,22.08
523,50.00,19.42
524,49.45,15.55
525,53.05,15.24
526,51.58,18.51
527,51.07,14.36
528,50.07,14.40
529,50.21,17.08
530,51.01,15.09
531,53.43,20.10
532,52.24,19.26
533,49.06,18.16
534,53.28,20.15
535,49.49,17.44
536,52.05,14.48
537,52.54,15.33
538,49.41,19.10
539,50.54,15.07
540,54.35,21.47
541,54.46,18.24
542,51.08,14.48
543,51.04,15.40
544,53.53,19.11
545,49.06,18.34
546,52.43,17.43
547,54.19,16.38
548,52.29,15.33
549,49.09,17.30
550,50.46,16.34
551,50.15,14.54
552,53.16,23.07
553,50.06,16.09
554,52.14,18.25
555,52.53,14.49
556,49.28,18.07
557,50.56,15.12
558,49.25,17.50
559,53.16,16.12
560,53.14,21.43
561,54.17,21.50
562,54.20,22.46
563,50.51,22.51
564,53.56,14.43
565,54.41,17.40
566,54.47,19.58
567,49.11,18.57
568,51.35,14.49
569,51.10,22.36
570,53.10,19.23
571,51.30,17.32
572,51.22,21.24
573,51.52,23.47
574,52.18,18.26
575,52.16,17.58
576,51.52,18.29
577,49.01,16.23
578,53.47,21.18
579,53.23,21.56
580,49.02,19.57
581,53.07,14.21
582,52.45,17.32
583,51.41,19.33
584,53.21,16.17
585,52.46,15.18
586,49.41,22.29
587,52.07,16.43
588,52.19,23.26
589,52.23,20.52
590,49.41,14.51
591,54.45,15.50
592,53.02,16.32
593,50.31,23.23
594,53.30,14.08
595,50.47,19.55
596,54.16,16.21
597,52.11,16.14
598,52.52,15.40
599,49.46,21.26
600,51.33,16.12
601,54.46,21.32
602,51.02,23.28
603,49.30,14.48
604,52.49,21.26
605,52.19,21.10
606,49.53,20.24
607,54.29,16.23
608,53.09,20.08
609,49.57,15.21
610,53.35,16.52
611,51.19,21.52
612,50.34,23.30
613,50.23,16.15
614,52.16,21.07
615,53.12,17.19
616,54.31,21.42
617,54.24,15.40
618,53.36,17.48
619,54.48,21.13
620,49.54,14.08
621,53.17,19.52
622,51.37,22.46
623,52.23,17.43
624,53.11,20.34
625,53.46,21.53
626,53.20,14.44
627,52.30,18.08
628,49.57,14.30
629,52.19,22.11
630,51.35,21.11
631,51.51,22.37
632,53.31,18.19
633,49.35,21.52
634,52.27,14.43
635,54.46,19.28
636,50.45,15.07
637,51.52,20.34
638,50.52,19.08
639,52.32,18.45
640,53.51,20.32
641,50.39,19.19
642,52.12,21.56
643,50.56,18.49
644,49.46,17.37
645,54.28,22.31
646,51.35,17.42
647,52.06,15.12
648,54.38,17.07
649,54.21,16.22
650,50.53,23.46
651,49.19,17.42
652,53.43,15.56
653,51.15,23.42
654,50.04,21.26
655,54.15,18.25
656,54.39,17.23
657,53.25,14.26
658,49.53,16.51
659,53.07,22.44
660,53.06,18.30
661,51.49,22.22
662,51.09,19.09
663,51.05,15.17
664,53.44,19.31
665,53.22,23.12
666,49.19,22.45
667,54.06,21.39
668,50.45,21.09
669,52.20,21.49
670,51.37,15.53
671,53.55,20.16
672,50.28,18.26
673,53.09,23.49
674,54.14,15.30
675,54.25,18.17
676,53.57,15.58
677,52.09,16.35
678,54.07,17.23
679,49.51,16.25
680,54.38,23.49
681,52.49,15.37
682,51.09,21.28
683,53.45,16.48
684,51.38,16.42
685,51.38,23.40
686,54.02,23.55
687,49.02,23.44
688,54.21,20.28
689,49.46,16.13
690,49.22,17.10
691,52.25,17.17
692,53.01,23.50
693,51.21,18.26
694,50.23,19.48
695,49.26,17.53
696,54.12,23.56
697,51.08,16.49
698,53.46,15.45
699,51.21,19.20
700,53.14,16.47
701,49.55,17.14
702,54.48,19.53
703,54.04,17.16
704,54.22,20.09
705,49.05,16.21
706,53.00,22.19
707,54.08,20.51
708,49.17,23.15
709,51.00,15.53
710,52.12,16.57
711,54.41,23.13
712,50.35,15.46
713,53.34,21.35
714,51.00,20.07
715,54.18,21.30
716,50.38,23.23
717,51.52,23.16
718,52.09,16.42
719,50.47,22.52
720,49.06,17.53
721,53.50,17.17
722,52.46,18.18
723,54.27,17.26
724,53.25,15.26
725,54.27,21.10
726,53.17,20.36
727,53.07,14.41
728,50.34,20.26
729,54.19,14.17
730,54.03,21.33
731,52.39,15.23
732,49.51,18.25
733,53.47,21.56
734,50.54,15.49
735,52.00,16.18
736,51.01,18.52
737,52.04,14.46
738,54.17,19.56
739,54.24,14.54
740,54.30,14.51
741,50.54,19.30
742,50.15,20.56
743,54.05,20.15
744,53.25,14.47
745,54.12,17.19
746,49.54,23.37
747,49.14,21.46
748,52.49,16.50
749,52.40,18.24
750,53.00,14.46
751,49.43,14.58
752,52.21,21.13
753,49.37,15.11
754,53.08,21.13
755,53.40,22.27
756,50.11,14.55
757,54.00,18.18
758,49.02,17.48
759,53.20,20.30
760,49.55,14.26
761,54.19,15.39
762,53.16,23.17
763,53.51,23.50
764,50.33,23.55
765,50.04,20.29
766,50.46,19.24
767,49.25,15.53
768,51.09,23.43
769,53.52,22.08
770,54.03,20.29
771,50.54,23.07
772,51.37,16.50
773,53.15,20.16
774,51.09,19.41
775,49.26,20.08
776,51.18,19.30
777,49.41,21.27
778,53.52,15.29
779,52.48,23.54
780,51.23,19.34
781,50.42,21.54
782,52.18,14.54
783,50.49,22.49
784,49.26,21.20
785,53.40,20.44
786,54.13,17.30
787,50.04,19.35
788,49.53,23.57
789,53.11,16.18
790,54.49,23.40
791,54.32,19.42
792,54.00,20.44
793,50.01,15.18
794,49.22,17.24
795,51.04,19.26
796,52.48,15.15
797,51.12,20.39
798,54.00,17.49
799,49.18,23.27
800,51.26,20.54
801,52.07,15.34
802,53.53,17.23
803,52.51,17.19
804,51.31,21.50
805,53.56,15.44
806,51.54,18.24
807,52.04,23.41
808,49.17,14.36
809,51.19,16.54
810,49.28,19.17
811,51.25,18.52
812,52.58,18.41
813,53.13,17.08
814,50.23,18.28
815,54.44,21.45
816,53.25,17.46
817,52.23,15.46
818,51.28,14.15
819,52.40,20.43
820,53.13,21.48
821,50.31,21.15
822,53.22,19.10
823,53.47,17.52
824,51.27,18.36
825,52.38,15.58
826,53.16,14.44
827,51.31,21.42
828,51.26,15.52
829,52.20,20.27
830,51.50,23.50
831,50.11,21.46
832,50.02,20.57
833,52.07,17.26
834,52.37,20.45
835,50.28,19.19
836,54.16,23.37
837,49.17,22.35
838,53.46,15.52
839,51.29,18.39
840,53.08,14.29
841,54.34,18.57
842,53.29,16.18
843,53.38,18.39
844,49.58,20.15
845,49.09,21.55
846,53.43,16.48
847,51.03,19.53
848,49.14,15.47
849,54.22,21.50
850,49.50,16.29
851,51.35,21.41
852,53.40,22.38
853,50.34,19.56
854,54.08,22.55
855,51.14,16.46
856,51.55,14.54
857,51.44,14.17
858,54.23,20.13
859,54.23,22.42
860,50.18,15.13
861,54.39,20.20
862,49.49,18.16
863,54.49,15.19
864,53.55,18.10
865,52.51,19.20
866,54.30,21.53
867,54.46,23.46
868,50.27,18.43
869,54.05,17.47
870,50.24,18.37
871,50.10,23.26
872,50.58,19.30
873,53.19,17.18
874,53.05,21.37
875,51.03,15.30
876,52.50,21.43
877,51.12,21.40
878,54.45,21.18
879,50.27,22.32
880,49.27,22.56
881,54.07,21.18
882,52.54,20.40
883,52.44,14.49
884,53.18,17.44
885,51.49,22.40
886,51.41,22.07
887,51.08,20.19
888,53.33,20.19
889,49.20,20.12
890,51.20,18.15
891,53.11,14.32
892,53.19,19.37
893,53.39,14.42
894,52.30,22.54
895,51.44,18.13
896,54.13,14.21
897,50.47,23.28
898,54.49,21.28
899,50.35,18.43
900,52.25,15.31
901,49.21,20.53
902,54.20,21.11
903,50.54,20.12
904,53.16,23.25
905,53.29,19.16
906,52.34,18.13
907,52.32,16.11
908,52.50,23.48
909,54.07,20.34
910,50.42,18.31
911,51.47,15.49
912,50.38,15.32
913,50.16,19.44
914,51.15,16.47
915,52.44,14.19
916,49.04,17.52
917,50.02,17.54
918,51.55,18.52
919,51.24,21.50
920,49.31,15.25
921,52.58,15.16
922,52.17,21.34
923,54.36,17.34
924,51.12,22.30
925,52.00,16.38
926,54.02,18.24
927,51.00,18.25
928,54.23,16.44
929,53.46,15.50
930,54.10,17.51
931,51.39,22.30
932,49.29,23.58
933,49.20,21.09
934,52.51,17.42
935,50.11,22.36
936,53.58,22.18
937,54.33,14.17
938,51.53,19.09
939,51.15,18.23
940,52.28,14.48
941,50.00,18.44
942,50.16,23.19
943,53.28,23.29
944,50.24,16.30
945,50.48,19.12
946,53.50,16.50
947,50.18,23.30
948,52.43,17.39
949,54.30,17.39
950,51.36,22.50
951,51.15,15.20
952,53.11,18.20
953,50.03,14.52
954,49.25,16.50
955,53.44,23.24
956,52.07,16.21
957,51.32,23.32
958,54.09,17.25
959,49.47,18.44
960,54.28,23.07
961,49.00,22.14
962,49.43,17.55
963,52.22,18.42
964,53.01,21.43
965,52.09,15.36
966,49.41,21.54
967,50.44,21.39
968,53.43,18.51
969,52.08,21.45
970,51.15,14.09
971,49.30,17.57
972,54.24,16.48
973,54.14,15.40
974,54.24,14.20
975,54.04,22.42
976,49.13,15.53
977,51.19,20.15
978,51.46,14.18
979,50.00,22.22
980,54.35,19.31
981,51.29,19.36
982,52.43,23.52
983,53.35,22.21
984,53.45,19.32
985,52.27,17.14
986,54.05,15.18
987,50.53,22.34
988,51.14,22.16
989,54.24,22.13
990,54.32,17.16
991,51.45,18.44
992,49.43,22.16
993,50.20,14.32
994,50.02,16.43
995,49.05,14.07
996,53.28,23.22
997,54.31,21.37
998,54.40,22.44
999,53.36,16.14
